Time,No Protein,No NADH,25 C,30 C,37 C,40 C,45 C,50 C,55 C,60 C,65 C,70 C,80 C
38,0.470333333,0.120333333,0.155666667,0.138666667,0.140666667,0.119,0.452666667,0.423,0.428,0.458666667,0.395666667,0.413,0.450666667
39,0.467666667,0.119,0.152666667,0.136,0.14,0.115333333,0.449333333,0.424,0.429,0.455333333,0.391333333,0.409333333,0.463666667
40,0.468666667,0.119,0.148333333,0.133333333,0.132666667,0.115333333,0.450333333,0.417,0.428666667,0.459333333,0.391333333,0.409333333,0.452666667
41,0.468,0.120333333,0.144,0.131666667,0.135333333,0.116,0.451,0.423333333,0.426666667,0.46,0.390333333,0.407333333,0.451666667
42,0.469333333,0.12,0.142,0.130666667,0.132,0.116,0.452666667,0.421,0.426333333,0.460666667,0.39,0.409333333,0.455666667
43,0.467666667,0.12,0.143666667,0.128333333,0.13,0.114666667,0.449666667,0.422666667,0.426,0.456333333,0.388666667,0.404333333,0.457
44,0.467666667,0.119333333,0.142,0.126666667,0.127333333,0.112333333,0.443666667,0.416666667,0.419333333,0.46,0.388,0.407,0.456333333
45,0.47,0.119,0.145,0.127,0.126,0.112333333,0.449,0.421666667,0.426,0.462333333,0.39,0.407666667,0.448333333
46,0.467,0.118,0.144333333,0.125333333,0.125,0.111,0.446,0.419333333,0.419666667,0.46,0.386666667,0.406,0.445
47,0.466,0.118666667,0.143,0.126,0.124,0.111333333,0.447666667,0.419333333,0.422333333,0.458333333,0.387333333,0.404,0.460333333
48,0.466333333,0.119333333,0.141666667,0.123666667,0.123666667,0.111666667,0.447,0.415,0.42,0.459666667,0.388,0.407,0.446
49,0.467666667,0.12,0.139,0.124333333,0.122333333,0.112333333,0.444,0.417333333,0.418666667,0.461333333,0.384333333,0.403333333,0.462
50,0.467666667,0.119,0.137666667,0.122333333,0.121666667,0.113666667,0.444,0.416,0.416,0.46,0.386333333,0.402666667,0.457
51,0.468,0.119333333,0.137,0.123,0.119666667,0.112333333,0.443,0.416333333,0.418,0.464,0.384333333,0.402,0.455
52,0.468,0.119333333,0.134666667,0.120333333,0.121666667,0.111333333,0.442333333,0.417333333,0.418666667,0.467666667,0.381666667,0.400666667,0.448666667
53,0.469,0.118,0.131333333,0.120666667,0.118333333,0.112333333,0.440666667,0.415333333,0.418,0.461666667,0.383333333,0.397333333,0.449
54,0.470666667,0.119333333,0.133666667,0.122333333,0.120333333,0.114,0.442333333,0.415666667,0.419666667,0.468333333,0.382666667,0.4,0.456666667
55,0.467,0.119,0.137,0.121333333,0.116666667,0.115666667,0.443,0.411666667,0.417666667,0.469,0.383666667,0.399,0.457666667
56,0.467333333,0.118666667,0.131666667,0.120666667,0.117,0.112,0.439666667,0.403666667,0.417333333,0.468,0.379666667,0.396666667,0.454333333
57,0.471333333,0.119,0.128666667,0.121333333,0.12,0.124,0.444,0.393666667,0.419,0.469,0.384666667,0.397333333,0.446666667
58,0.469,0.119333333,0.132666667,0.120666667,0.119,0.113666667,0.44,0.387666667,0.415333333,0.470333333,0.382,0.397666667,0.454
59,0.468333333,0.118333333,0.130333333,0.119666667,0.12,0.112666667,0.440333333,0.389,0.416333333,0.466,0.379666667,0.395333333,0.442
